Exchange Id,Website,Name,Data Start,Data End,Data Quote Start,Data Quote End,Data Symbols Count,Volume 1hrs Usd,Volume 1day Usd,Volume 1mth Usd,Data Orderbook Start,Data Orderbook End,Data Trade Start,Data Trade End
BIKI,https://www.biki.com/,BiKi,2019-10-01,2021-05-20,2019-10-01T15:06:19.1645252Z,2021-05-20T17:42:52.0763533Z,837,147197654.9,6198935926,125816094006,2019-10-01T15:06:19.1645252Z,2020-08-05T14:37:49.8082198Z,2019-10-01T15:06:20.7990000Z,2021-05-20T17:30:04.0966667Z
TRADEOGRE,https://tradeogre.com/,TradeOgre,2019-04-08,2021-05-20,2019-04-08T15:18:03.9093034Z,2021-05-20T17:42:46.4738343Z,121,24006518180876,1.03157E+15,9.1012E+15,2019-04-08T15:18:03.9093034Z,2020-08-05T14:37:54.8372325Z,2019-04-08T15:19:17.0000000Z,2021-05-20T17:30:04.0966667Z
BISQ,https://bisq.network/,Bisq,2020-01-01,2021-05-20,2020-01-01T02:29:21.8875956Z,2021-05-20T17:30:00.9400000Z,276,0,0,0,2020-01-01T02:29:21.8875956Z,2020-08-05T14:37:25.5791398Z,2019-04-08T15:19:17.0000000Z,2021-05-20T17:30:04.0966667Z
COINDEAL,https://coindeal.com/,Coindeal,2019-10-01,2021-05-20,2019-10-01T17:21:35.0250361Z,2021-05-20T17:42:00.8586498Z,52,0,0,0,2019-10-01T17:21:35.0250361Z,2020-08-05T14:37:37.7718486Z,2019-04-08T15:19:17.0000000Z,2021-05-20T17:30:04.0966667Z
VELIC,https://www.velic.io/,VELIC,2019-10-01,2021-05-20,2019-10-01T17:47:07.3706738Z,2021-05-20T17:31:41.7173430Z,50,0,0,0,2019-10-01T17:47:07.3706738Z,2020-08-05T14:37:52.2971168Z,2019-04-08T15:19:17.0000000Z,2021-05-20T17:30:04.0966667Z
CRYPTALDASH,https://www.cryptaldash.com/,CryptalDash,2018-08-13,2021-05-20,2019-04-08T15:18:06.5579239Z,2021-05-20T17:30:00.9400000Z,641,0,0,418.11,2019-04-08T15:18:06.5579239Z,2020-08-05T14:37:56.5139509Z,2018-08-13T18:04:30.0000000Z,2021-04-29T07:37:36.0000000Z
COINSPRO,https://pro.coins.asia/,Coins Pro,2018-03-09,2021-05-20,2018-11-08T20:09:36.9821552Z,2021-05-20T17:32:03.4520000Z,14,30898.25,1688947.53,54282577.13,2018-11-08T20:09:36.9821552Z,2020-08-05T14:37:41.4030000Z,2018-03-09T21:32:41.4920000Z,2021-05-20T17:30:04.0966667Z
CHAOEX,https://www.chaoex.com,CHAOEX,2019-06-03,2020-09-05,2019-10-01T17:21:35.3589807Z,2020-09-05T22:55:32.9797584Z,118,0,0,0,2019-10-01T17:21:35.3589807Z,2020-08-05T11:47:36.3935768Z,2019-06-03T05:55:23.0000000Z,2020-09-04T02:09:10.2060000Z
BITBANK,https://bitbank.cc/,Bitbank,2018-09-09,2021-05-20,2018-09-09T12:57:18.2867320Z,2021-05-20T17:32:09.5821236Z,8,7432020.89,355664125.3,5433885313,2018-09-09T12:57:18.2867320Z,2020-08-05T14:37:46.5011156Z,2018-09-09T05:09:30.0640000Z,2021-05-20T17:30:04.0966667Z
BINANCEOPTV,https://www.binance.com/,Binance Options Vanilla (vapi),2021-02-18,2021-05-20,2021-02-18T15:49:50.5520000Z,2021-05-20T17:30:00.9400000Z,388,0,40164441.6,2357186867,2018-09-09T12:57:18.2867320Z,2020-08-05T14:37:46.5011156Z,2021-02-18T15:54:15.7320000Z,2021-05-20T17:30:04.0966667Z
BKEX,https://www.bkex.com/,BKEX,2019-10-01,2021-05-20,2019-10-01T17:20:16.3599703Z,2021-05-20T17:42:53.0455968Z,741,26234318.87,1216902603,30336196923,2019-10-01T17:20:16.3599703Z,2020-08-05T14:37:17.2422143Z,2019-10-01T17:20:22.6600000Z,2021-05-20T17:30:04.0966667Z
STORMGAIN,https://stormgain.com,StormGain,2020-05-05,2021-05-20,2020-05-05T16:16:25.3897239Z,2021-05-20T17:30:00.9400000Z,18,0,0,0,2020-05-05T16:16:25.3897239Z,2020-08-05T14:38:35.2210565Z,2020-05-05T16:18:27.3070000Z,2020-07-15T07:53:36.6590000Z
C2CX,https://www.c2cx.com/,C2CX,2019-04-08,2021-05-20,2019-04-08T15:17:57.0000000Z,2021-05-20T17:30:00.9400000Z,89,0,0,0,2019-04-08T15:17:57.0000000Z,2020-08-05T14:37:23.0000000Z,2020-05-05T16:18:27.3070000Z,2020-07-15T07:53:36.6590000Z
BIONE,https://www.bione.cc/,Bione,2020-05-05,2020-08-01,2020-05-05T13:01:28.7115175Z,2020-08-01T02:14:43.3449226Z,64,0,0,0,2020-05-05T13:01:28.7115175Z,2020-08-01T02:14:43.3449226Z,2020-05-05T16:18:27.3070000Z,2020-07-15T07:53:36.6590000Z
RADARRELAY,https://radarrelay.com/,Radar Relay,2019-10-01,2020-01-06,2019-10-01T17:27:42.1386007Z,2020-01-06T17:42:11.8769664Z,50,0,0,0,2019-10-01T17:27:42.1386007Z,2020-01-06T17:42:11.8769664Z,2020-05-05T16:18:27.3070000Z,2020-07-15T07:53:36.6590000Z
HUOBIJP,https://www.huobi.co.jp/,Huobi Japan,2020-05-15,2021-05-20,2020-05-15T00:21:26.6308783Z,2021-05-20T17:42:20.7464029Z,28,15383491.84,685800065.4,10258968774,2020-05-15T00:21:26.6308783Z,2020-08-05T14:37:23.0317694Z,2020-05-15T00:21:28.5480000Z,2021-05-20T17:30:04.0966667Z
ALTCOINTRADER,https://www.altcointrader.co.za/,Altcoin Trader,2019-04-08,2021-05-20,2019-04-08T15:19:06.0909149Z,2021-05-20T17:42:53.8145660Z,29,0,0,0,2019-04-08T15:19:06.0909149Z,2020-08-05T14:37:23.4295349Z,2020-05-15T00:21:28.5480000Z,2021-05-20T17:30:04.0966667Z
KYBER,https://kyber.network/,Kyber Network,2019-10-01,2021-05-20,2019-10-01T17:26:10.2358153Z,2021-05-20T17:42:03.5949284Z,125,0,0,0,2019-10-01T17:26:10.2358153Z,2020-08-05T14:38:03.8899762Z,2020-05-15T00:21:28.5480000Z,2021-05-20T17:30:04.0966667Z
COINLIM,https://www.coinlim.com/,Coinlim,2019-10-01,2020-06-23,2019-10-01T17:21:49.2472129Z,2020-06-23T10:00:04.7006628Z,111,0,0,0,2019-10-01T17:21:49.2472129Z,2020-06-23T10:00:04.7006628Z,2020-05-15T00:21:28.5480000Z,2021-05-20T17:30:04.0966667Z
BCEX,https://www.bcex.ca/,BCEX,2019-02-21,2019-10-01,2019-02-21T13:34:20.6475263Z,2019-10-01T16:57:33.4731161Z,21173,0,0,0,2019-02-21T13:34:20.6475263Z,2019-10-01T16:57:33.4731161Z,2020-05-15T00:21:28.5480000Z,2021-05-20T17:30:04.0966667Z
XBTCE,https://www.xbtce.com/,xBTCe,2017-03-18,2021-05-20,2017-03-18T22:49:12.8140463Z,2021-05-20T17:42:51.0120890Z,119,0,0,0,2017-03-18T22:49:12.8140463Z,2020-08-05T14:37:51.9909820Z,2020-05-15T00:21:28.5480000Z,2021-05-20T17:30:04.0966667Z
TIMEX,https://timex.io/,TimeX,2020-05-05,2021-05-20,2020-05-05T13:18:39.4245701Z,2021-05-20T17:41:44.5692838Z,28,5094426.49,40852780.91,1567550594,2020-05-05T13:18:39.4245701Z,2020-08-05T14:37:47.5148079Z,2020-05-05T13:19:07.0000000Z,2021-05-20T17:30:04.0966667Z
BINANCEJEX,https://www.jex.com/en,Binance JEX,2020-05-05,2021-05-20,2020-05-05T00:00:00.7244920Z,2021-05-20T17:42:29.1650000Z,159,1046461.39,26488732.89,135724818.5,2020-05-05T00:00:00.7244920Z,2020-08-05T14:37:12.2900000Z,2020-05-05T16:17:15.0780000Z,2021-05-20T17:30:04.0966667Z
FISCO,https://fcce.jp/,Fisco,2018-09-03,2020-02-07,2019-04-08T15:17:45.9541523Z,2020-02-07T00:58:56.7924991Z,5,0,0,0,2019-04-08T15:17:45.9541523Z,2020-02-07T00:58:56.7924991Z,2018-09-03T17:55:35.0000000Z,2020-02-06T22:47:17.0000000Z
P2PB2B,https://p2pb2b.io/,p2pb2b,2018-10-26,2020-12-10,2019-04-08T15:19:03.3086962Z,2020-12-10T13:54:17.1188891Z,1480,0,0,0,2019-04-08T15:19:03.3086962Z,2020-08-05T14:37:07.1688497Z,2018-10-26T06:54:25.8040000Z,2020-12-10T13:52:56.1510000Z
OPENLEDGER,https://dex.openledger.io/,OpenLedger DEX,2017-10-08,2020-06-28,2019-04-08T15:18:00.4299525Z,2020-06-28T13:29:23.7642737Z,558,0,0,0,2019-04-08T15:18:00.4299525Z,2020-06-28T13:29:23.7642737Z,2017-10-08T21:10:39.0000000Z,2020-04-20T21:14:45.0000000Z
BINANCEJE,https://www.binance.je/,Binance Jersey,2019-10-09,2020-11-10,2019-10-09T13:14:59.9761514Z,2020-11-10T00:02:46.1790000Z,11,0,0,0,2019-10-09T13:14:59.9761514Z,2020-08-05T14:37:19.9450000Z,2019-10-09T13:45:10.0350000Z,2020-11-09T23:57:04.2510000Z
GRAVIEX,https://graviex.net/,Graviex,2018-05-23,2021-05-20,2019-04-08T15:18:05.3893240Z,2021-05-20T17:42:20.0805677Z,799,10926.43,2363320.44,4.94217E+15,2019-04-08T15:18:05.3893240Z,2020-08-05T14:37:51.6671831Z,2018-05-23T17:26:19.0000000Z,2021-05-20T17:30:04.0966667Z
TIDEBIT,https://www.tidebit.com/,Tidebit,2019-10-01,2021-05-20,2019-10-01T17:28:35.1764139Z,2021-05-20T17:41:49.4213890Z,52,0,1539291.95,34383031.5,2019-10-01T17:28:35.1764139Z,2020-08-05T14:37:23.7822195Z,2019-10-01T11:58:38.0000000Z,2021-05-20T17:30:04.0966667Z
ALLBIT,https://allbit.com/,Allbit,2020-01-01,2021-03-29,2020-01-01T02:28:44.9223852Z,2021-03-29T00:17:56.0508030Z,35,0,0,0,2020-01-01T02:28:44.9223852Z,2020-08-05T11:55:48.8559303Z,2019-10-01T11:58:38.0000000Z,2021-05-20T17:30:04.0966667Z
FCOIN,https://www.fcoin.com/,FCoin,2018-10-03,2020-02-10,2019-10-01T17:24:08.7882764Z,2020-02-10T15:47:33.0936056Z,324,0,0,0,2019-10-01T17:24:08.7882764Z,2020-02-10T15:47:33.0936056Z,2018-10-03T05:40:33.0850000Z,2020-02-10T15:47:39.9870000Z
CASHIEREST,https://www.cashierest.com/,Cashierest,2019-02-08,2020-03-12,2019-02-08T07:59:20.3268409Z,2020-03-12T06:14:51.6178446Z,150,0,0,0,2019-02-08T07:59:20.3268409Z,2020-03-12T06:14:51.6178446Z,2018-10-03T05:40:33.0850000Z,2020-02-10T15:47:39.9870000Z
ARTISTURBA,https://artisturba.com/,Artis Turba,2020-05-10,2021-05-20,2020-09-07T14:37:09.4097145Z,2021-05-20T17:31:58.3764382Z,32,0,115.89,839880.65,2019-02-08T07:59:20.3268409Z,2020-03-12T06:14:51.6178446Z,2020-05-10T15:22:13.0000000Z,2021-05-20T17:30:04.0966667Z
BITRUE,https://www.bitrue.com/,Bitrue,2019-02-08,2021-05-20,2019-02-08T09:08:55.5368722Z,2021-05-20T17:42:54.3071022Z,420,0,0,0,2019-02-08T09:08:55.5368722Z,2020-08-05T14:37:24.0861042Z,2020-05-10T15:22:13.0000000Z,2021-05-20T17:30:04.0966667Z
SATANGPRO,https://satang.pro/,Satang Pro,2019-04-08,2021-05-20,2019-04-08T20:44:37.6240192Z,2021-05-20T17:36:06.3679111Z,7,0,0,0,2019-04-08T20:44:37.6240192Z,2020-08-05T14:37:42.4277353Z,2020-05-10T15:22:13.0000000Z,2021-05-20T17:30:04.0966667Z
COINEXCHANGE,https://www.coinexchange.io/,CoinExchange,2018-01-24,2019-12-04,2018-01-24T00:21:57.1628343Z,2019-12-04T03:12:24.7087885Z,1648,0,0,0,2018-01-24T00:21:57.1628343Z,2019-12-04T03:12:24.7087885Z,2020-05-10T15:22:13.0000000Z,2021-05-20T17:30:04.0966667Z
CRYPTOMATE,https://cryptomate.co.uk/,Cryptomate,2019-10-03,2021-05-20,2019-10-03T16:48:07.4935476Z,2021-05-20T17:36:56.4381239Z,34,0,0,0,2019-10-03T16:48:07.4935476Z,2020-08-05T14:33:50.7922532Z,2020-05-10T15:22:13.0000000Z,2021-05-20T17:30:04.0966667Z
COINUT,https://coinut.com/,Coinut,2019-04-23,2021-05-20,2019-04-23T10:02:37.6631490Z,2021-05-20T17:40:29.3882957Z,39,0,1291.66,8521.02,2019-04-23T10:02:37.6631490Z,2020-08-05T14:34:50.6334460Z,2019-04-25T01:25:06.8750000Z,2021-05-20T17:30:04.0966667Z
NOVADAX,http://www.novadax.com.br/,NovaDAX,2020-05-05,2021-05-20,2020-05-05T00:00:00.7917541Z,2021-05-20T17:42:36.8504132Z,115,786633.51,16561166.14,420734438.5,2020-05-05T00:00:00.7917541Z,2020-08-05T14:37:13.6080686Z,2020-05-05T13:39:05.4790000Z,2021-05-20T17:30:04.0966667Z
VALR,https://www.valr.com/,Valr,2020-12-17,2021-05-20,2020-12-17T22:46:18.0202663Z,2021-05-20T17:39:05.9522490Z,121,0,0,0,2020-05-05T00:00:00.7917541Z,2020-08-05T14:37:13.6080686Z,2020-05-05T13:39:05.4790000Z,2021-05-20T17:30:04.0966667Z
BINANCEFTS,https://www.binance.com/,Binance Futures (USDT/dapi),2019-10-07,2021-05-20,2019-10-07T08:45:23.0951195Z,2021-05-20T17:42:52.0790000Z,122,3860557796,109967209735,1806605661731,2019-10-07T08:45:23.0951195Z,2020-08-05T14:37:51.3000000Z,2019-10-07T08:30:21.2620000Z,2021-05-20T17:30:04.0966667Z
INFINITYCOIN,https://infinitycoin.exchange/,InfinityCoin Exchange,2019-10-01,2020-07-28,2019-10-01T17:47:26.8021370Z,2020-07-28T07:06:11.7867418Z,1,0,0,0,2019-10-01T17:47:26.8021370Z,2020-07-28T07:06:11.7867418Z,2019-10-07T08:30:21.2620000Z,2021-05-20T17:30:04.0966667Z
MODIAX,https://www.modiax.com/,MODIAX,2018-10-24,2021-03-29,2019-02-05T23:23:14.0000000Z,2021-03-29T14:59:29.0000000Z,7,0,0,0,2019-02-05T23:23:14.0000000Z,2020-08-05T11:54:40.0000000Z,2018-10-24T11:15:21.0000000Z,2021-03-20T19:30:49.0000000Z
ZEBPAY,https://www.zebapi.com/,Zebpay,2019-02-08,2021-05-20,2019-02-08T10:06:08.6901996Z,2021-05-20T17:42:39.9449568Z,59,0,0,0,2019-02-08T10:06:08.6901996Z,2020-08-05T14:37:12.6472345Z,2018-10-24T11:15:21.0000000Z,2021-03-20T19:30:49.0000000Z
ETHFINEX,https://www.ethfinex.com/,Ethfinex,2019-10-01,2020-07-25,2019-10-01T17:23:55.4003231Z,2020-07-25T18:40:58.6456707Z,423,0,0,0,2019-10-01T17:23:55.4003231Z,2020-07-25T18:40:58.6456707Z,2018-10-24T11:15:21.0000000Z,2021-03-20T19:30:49.0000000Z
COINTIGER,https://www.cointiger.com/,CoinTiger,2018-11-20,2020-07-28,2018-11-20T15:24:51.7878874Z,2020-07-28T15:11:31.8052057Z,343,0,0,0,2018-11-20T15:24:51.7878874Z,2020-07-28T15:11:31.8052057Z,2018-11-20T15:24:51.0020000Z,2020-07-28T15:12:34.0000000Z
DDEX,https://ddex.io/,DDEX,2019-01-22,2021-04-08,2019-01-22T20:19:06.9087747Z,2021-04-08T02:27:27.9181011Z,415,0,0,0,2019-01-22T20:19:06.9087747Z,2020-08-05T14:37:46.3814907Z,2020-05-05T13:18:46.0000000Z,2021-04-05T06:10:34.0000000Z
VINDAX,https://vindax.com/,VinDAX,2019-08-05,2021-05-20,2019-10-14T22:47:16.7528901Z,2021-05-20T17:41:17.5671044Z,1187,1583536.15,65115369.34,2866799348,2019-10-14T22:47:16.7528901Z,2020-08-05T14:27:20.9232176Z,2019-08-05T11:13:36.0000000Z,2021-05-20T17:30:04.0966667Z
POLONIEXFTS,https://poloniex.com/futures,Poloniex Futures,2021-02-18,2021-05-20,2021-02-18T15:52:43.4041116Z,2021-05-20T17:30:00.9400000Z,15,0,0,131985358981,2019-10-14T22:47:16.7528901Z,2020-08-05T14:27:20.9232176Z,2021-02-18T15:52:49.4640000Z,2021-05-20T17:30:04.0966667Z
MANDALA,https://www.mandala.exchange/,Mandala,2021-03-12,2021-05-20,2021-03-12T23:31:27.1769842Z,2021-05-20T17:42:55.5570000Z,1033,1463632110759,51418123586315,3.59164E+15,2019-10-14T22:47:16.7528901Z,2020-08-05T14:27:20.9232176Z,2021-03-12T23:31:26.1980000Z,2021-05-20T17:30:04.0966667Z
IDAX,https://www.idax.pro/,IDAX,2019-02-03,2020-05-29,2019-02-05T23:28:43.4514691Z,2020-05-29T22:56:36.7453273Z,432,0,0,0,2019-02-05T23:28:43.4514691Z,2020-05-29T22:56:36.7453273Z,2019-02-03T15:53:24.0000000Z,2019-04-17T15:03:49.5200000Z
BITEXLIVE,https://bitexlive.com/,BITEXLIVE,2020-05-16,2021-05-20,2020-05-16T07:45:06.0671899Z,2021-05-20T17:30:00.9400000Z,140,17427.27,59784.83,15136761.19,2020-05-16T07:45:06.0671899Z,2020-08-05T14:36:04.5929394Z,2020-05-16T07:46:49.0000000Z,2021-05-20T17:30:04.0966667Z
CATEX,https://www.catex.io/,Cat.Ex,2019-07-13,2021-05-20,2019-10-01T17:21:04.4309552Z,2021-05-20T17:42:54.5231800Z,356,0,0,418526174.7,2019-10-01T17:21:04.4309552Z,2020-08-05T14:37:29.3958869Z,2019-07-13T19:31:59.0000000Z,2021-05-20T17:30:04.0966667Z
SISTEMKOIN,https://sistemkoin.com/,Sistemkoin,2019-04-08,2021-04-14,2019-04-08T15:17:55.3330949Z,2021-04-14T14:25:52.8685566Z,735,0,0,0,2019-04-08T15:17:55.3330949Z,2020-08-05T14:38:33.4327540Z,2019-07-13T19:31:59.0000000Z,2021-05-20T17:30:04.0966667Z
BITEXLA,https://bitex.la/,Bitex.la,2019-04-08,2021-05-20,2019-04-08T15:29:16.9647231Z,2021-05-20T17:38:14.0638578Z,6,7859,1028600.22,18552605.23,2019-04-08T15:29:16.9647231Z,2020-08-05T14:37:07.8179075Z,2019-04-08T17:16:25.0000000Z,2021-05-20T17:30:04.0966667Z
HANBITCO,https://www.hanbitco.com/,Hanbitco,2019-10-01,2021-03-15,2019-10-01T17:24:58.8944166Z,2021-03-15T13:45:16.9568093Z,13,0,0,0,2019-10-01T17:24:58.8944166Z,2020-08-05T14:37:17.5726521Z,2019-04-08T17:16:25.0000000Z,2021-05-20T17:30:04.0966667Z
COINALL,https://www.coinall.com/,Coinall,2019-04-18,2021-03-12,2019-04-18T12:50:27.7633096Z,2021-03-12T06:24:29.1724413Z,540,0,0,0,2019-04-18T12:50:27.7633096Z,2020-08-05T14:37:12.2417707Z,2019-04-18T12:50:29.0000000Z,2021-03-12T06:23:25.0000000Z
COINSBANK,https://coinsbank.com/,CoinsBank,2019-10-01,2021-05-20,2019-10-01T17:22:29.5082903Z,2021-05-20T17:30:00.9400000Z,12,0,127.39,3709.61,2019-10-01T17:22:29.5082903Z,2020-08-05T14:37:50.2732269Z,2019-10-01T17:22:34.0000000Z,2021-05-20T17:30:04.0966667Z
CRYPTOLOGY,https://cryptology.com/,Cryptology,2019-10-01,2021-05-20,2019-10-01T17:23:08.0259193Z,2021-05-20T17:40:53.4976850Z,45,1241773.3,56243334.83,927109687.1,2019-10-01T17:23:08.0259193Z,2020-08-05T14:37:35.9555646Z,2019-10-01T17:23:20.2680000Z,2021-05-20T17:30:04.0966667Z
EXTSTOCK,https://extstock.com/,ExtStock,2019-10-01,2021-05-20,2019-10-01T17:41:41.4274475Z,2021-05-20T17:42:55.1978566Z,120,0,3490470310,123267985013,2019-10-01T17:41:41.4274475Z,2020-08-05T14:37:53.8312646Z,2019-10-01T12:11:54.0000000Z,2021-05-20T17:30:04.0966667Z
CRYPTONEX,https://cryptonex.org/,Cryptonex,2019-10-01,2021-05-20,2019-10-01T17:40:30.8965882Z,2021-05-20T17:42:23.7327332Z,20,0,0,0,2019-10-01T17:40:30.8965882Z,2020-08-05T14:37:36.5297879Z,2019-10-01T12:11:54.0000000Z,2021-05-20T17:30:04.0966667Z
COINFALCON,https://coinfalcon.com/,CoinFalcon,2020-01-01,2020-07-28,2020-01-01T02:34:50.8246788Z,2020-07-28T14:42:02.7740794Z,34,0,0,0,2020-01-01T02:34:50.8246788Z,2020-07-28T14:42:02.7740794Z,2019-10-01T12:11:54.0000000Z,2021-05-20T17:30:04.0966667Z
TRADEIO,https://exchange.trade.io/,Trade.io,2018-10-09,2019-10-28,2019-04-08T15:29:00.9938327Z,2019-10-28T16:25:39.1165960Z,126,0,0,0,2019-04-08T15:29:00.9938327Z,2019-10-28T16:25:39.1165960Z,2018-10-09T01:15:09.8490000Z,2019-10-28T16:07:46.9660000Z
LITEBIT,https://www.litebit.eu/,LiteBit.eu,2019-10-01,2021-05-20,2019-10-01T17:26:19.9865465Z,2021-05-20T17:42:35.1584772Z,66,0,0,0,2019-10-01T17:26:19.9865465Z,2020-08-05T14:38:06.5604509Z,2018-10-09T01:15:09.8490000Z,2019-10-28T16:07:46.9660000Z
KOINIM,https://koinim.com/,Koinim,2019-10-03,2021-05-20,2019-10-03T16:53:12.4213468Z,2021-05-20T17:40:02.1813708Z,6,0,0,0,2019-10-03T16:53:12.4213468Z,2020-08-05T14:35:42.2647481Z,2018-10-09T01:15:09.8490000Z,2019-10-28T16:07:46.9660000Z
LBANK,https://www.lbank.info/,LBank,2018-08-26,2021-05-20,2019-02-05T23:23:14.7624695Z,2021-05-20T17:42:48.1789888Z,635,281.54,726641.54,118146898.3,2019-02-05T23:23:14.7624695Z,2020-08-05T14:37:07.4780846Z,2018-08-26T14:38:37.4660000Z,2021-05-20T17:30:04.0966667Z
TRADESATOSHI,https://tradesatoshi.com/,Trade Satoshi,2017-07-06,2020-02-22,2019-04-08T15:18:19.6286531Z,2020-02-22T01:31:17.2872442Z,1582,0,0,0,2019-04-08T15:18:19.6286531Z,2020-02-22T01:31:17.2872442Z,2017-07-06T11:41:31.3030000Z,2020-02-22T01:25:10.7870000Z
